דגם הרכב,יצרן הרכב,שנה,סוג מנוע,סוג שמן,מידות צמיג,גודל בוקסות,סוג כבלים להתנעה,סוג סיוע משיכה,גלגל רזרבי,מיקום/שחרור גלגל רזרבי,גובי מגרעת סוג ג'ק,מיקום המצבר,מיקום הסטרטר,סוג התנעה,סוג חלונות/ נעילה,אפשרויות פתיחה,הערות תוספים מיוחדים,מיקום חיבור כבל גיר
100,אאודי,1989-1994,,,,,,,,,,,,,,,,
80,אאודי,1988-1995,,,,,,,יש,,,,,,,,,
אולרוד,אאודי,2001- 2004,,,,,,,יש,,,,,,,,,
A 1,אאודי,2010-2022,,,,,,,יש,,,,,,,,,
A 3,אאודי,1997-2022,,,,,,,יש,,,,,,,,,
A 4,אאודי,1996-2022,,,,,,,,,,,,,,,,
A 5,אאודי,2007-2022,,,,,,,יש,,,,,,,,,
A 6,אאודי,1996-2022,,,,,,,יש,,,,,,,,,
A 7,אאודי,2010-2022,,,,,,,יש,,,,,,,,,
A 8,אאודי,1996-2022,,,,,,,יש,,,,,,,,,
E TRON,אאודי,2019 - 2022,חשמלי,,,,,,,,,,,,,,,
E TRON GT,אאודי,2021-2022,חשמלי,,,,,,,,,,,,,,,
E TRON Q4,אאודי,2021-2022,חשמלי,,,,,,,,,,,,,,,
Q 2,אאודי,2016-2022,,,,,,,יש,,,,,,,,,
Q 3,אאודי,2011-2022,,,,,,,יש,,,,,,,,,
Q 5,אאודי,2010,בנזין,10w40,,,,,יש,,,,,,,,,
Q 5,אאודי,2009-2022,,,,,,,יש,,,,,,,,,
Q 7,אאודי,2007-2022,,,,,,,יש,,,,,,,,,
Q 8,אאודי,2018-2022,,,,,,,,,,,,,,,,
R 8,אאודי,2008-2022,,,,,,,יש,,,,,,,,,
RS 3,אאודי,2015-2022,,,,,,,,,,,,,,,,
RS 4,אאודי,2021-2022,,,,,,,,,,,,,,,,
RS 5,אאודי,2010-2022,,,,,,,יש,,,,,,,,,
RS 6,אאודי,2008-2022,,,,,,,,,,,,,,,,
RS 7,אאודי,2014-2022,,,,,,,,,,,,,,,,
RS Q3,אאודי,2016-2022,,,,,,,,,,,,,,,,
RS Q8,אאודי,2020-2022,,,,,,,,,,,,,,,,
S 3,אאודי,2007-2022,1,2,3,4,5,6,יש,7,8,9,0,-,1,1,2,
S 4,אאודי,2005-2018,,,,,,,יש,,,,,,,,,
S 5,אאודי,2008-2022,,,,,,,יש,,,,,,,,,
S 6,אאודי,2007-2015,,,,,,,יש,,,,,,,,,
S 8,אאודי,2007-2022,,,,,,,יש,,,,,,,,,
S 7,אאודי,2013-2017,,,,,,,יש,,,,,,,,,
SQ 5,אאודי,2015-2022,,,,,,,יש,,,,,,,,,
SQ 7,אאודי,2017-2022,,,,,,,יש,,,,,,,,,
SQ 8,אאודי,,,,,,,,יש,,,,,,,,,
TFSI,אאודי,,היברידי,,,,,,יש,,,,,,,,,
TT,אאודי,,,,,,,,יש,,,,,,,,,
TTS,אאודי,,,,,,,,יש,,,,,,,,,
אדם,אופל,,,,,,,,יש,,,,,,,,,
אומגה,אופל,,,,,,,,יש,,,,,,,,,
אינסיגניה,אופל,,,,,,,,יש,,,,,,,,,
אלמארה,אופל,,,,,,,,יש,,,,,,,,,
אסטרה,אופל,,,,,,,,יש,,,,,,,,,
אסקונה,אופל,,,,,,,,יש,,,,,,,,,
וקטרה,אופל,,,,,,,,יש,,,,,,,,,
זאפירה,אופל,,,,,,,,יש,,,,,,,,,
טיגרה,אופל,,,,,,,,יש,,,,,,,,,
מוקה,אופל,,,,,,,,יש,,,,,,,,,
מריבה,אופל,,,,,,,,יש,,,,,,,,,
קדט,אופל,,,,,,,,יש,,,,,,,,,
